"mzn","version","dzn","solver","timeout","n","mode","learning","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"toy.mzn","Gini","toy_2_3.dzn","Chuffed",1200000,2,"LB","True","0","True","80","1","2","19","4","3","1","0","2","False"
"toy.mzn","Gini","toy_3_3.dzn","Chuffed",1200000,3,"Simp","True","0","True","80","171","13","1498","4","8","171","199","13","False"
"toy.mzn","Spread","toy_21_24.dzn","Chuffed",1200000,21,"LB","True","5454618","False","1199946","133638282","2109","871481666","4","215","133638282","82557123","2108","False"
"toy.mzn","Gini","toy_11_11.dzn","Chuffed",1200000,11,"LB","True","1862","True","1320","149585","360","697487","4","55","149585","7089","359","False"
"toy.mzn","Spread","toy_24_24.dzn","Chuffed",1200000,24,"LB","True","4011408","False","1199946","80720510","1997","662234074","4","368","80720510","68475205","1996","False"
"toy.mzn","Spread","toy_5_7.dzn","Chuffed",1200000,5,"LB-TL","True","40","True","130","616","134","14516","4","19","616","995","134","False"
"toy.mzn","Spread","toy_22_23.dzn","Chuffed",1200000,22,"Simp","True","4301892","False","1199945","134179293","84","694189027","4","196","134179293","42901528","83","False"
"toy.mzn","Spread","toy_26_28.dzn","Chuffed",1200000,26,"LB","True","7100219","False","1200035","105645843","374","594971016","4","189","105645843","17142356","373","False"
"toy.mzn","Gini","toy_8_8.dzn","Chuffed",1200000,8,"LB-TL","True","1250","True","9120","701637","289","3670594","4","137","701637","71037","288","False"
"toy.mzn","Spread","toy_15_16.dzn","Chuffed",1200000,15,"LB-TL","True","562246","False","1199984","101454497","2120","744933001","4","2783","101454497","65562365","2119","False"
"toy.mzn","Spread","toy_27_30.dzn","Chuffed",1200000,27,"Simp","True","10325203","False","1199954","41685214","4","678747270","4","743","41685214","249958835","3","False"
"toy.mzn","Spread","toy_20_21.dzn","Chuffed",1200000,20,"LB-TL","True","2528244","False","1199943","102002028","2116","574157813","4","218","102002028","14785125","2115","False"
"toy.mzn","Gini","toy_33_33.dzn","Chuffed",1200000,33,"Simp","True","1858","False","1199955","81676020","3","775875125","4","470","81676020","167692711","2","False"
"toy.mzn","Spread","toy_23_23.dzn","Chuffed",1200000,23,"Simp","True","5846536","False","1199947","58711335","111","259390861","4","481","58711335","5546806","110","False"
"toy.mzn","Gini","toy_30_34.dzn","Chuffed",1200000,30,"Simp","True","1792","False","1199955","3618866","52","3113308957","4","1631","3618866","1547581736","51","False"
"toy.mzn","Spread","toy_36_40.dzn","Chuffed",1200000,36,"LB","True","30294687","False","1199946","61219302","2199","351824457","4","484","61219302","15492027","2198","False"
"toy.mzn","Spread","toy_5_7.dzn","Chuffed",1200000,5,"Simp","True","40","True","9210","1730065","45","7451258","4","19","1730065","15170","44","False"
"toy.mzn","Gini","toy_7_8.dzn","Chuffed",1200000,7,"Simp","True","782","False","1199931","161183703","189","684890972","4","46","161183703","3405406","188","False"
"toy.mzn","Gini","toy_29_32.dzn","Chuffed",1200000,29,"LB-TL","True","5103","False","1199960","22660214","32","327768618","4","512","22660214","84870713","31","False"
"toy.mzn","Gini","toy_32_32.dzn","Chuffed",1200000,32,"LB","True","4297","False","1199949","59711112","131","342063659","4","453","59711112","15194445","130","False"
"toy.mzn","Spread","toy_23_26.dzn","Chuffed",1200000,23,"LB-TL","True","6042310","False","1199945","68518117","566","852505580","4","3850","68518117","161890889","565","False"
"toy.mzn","Spread","toy_4_8.dzn","Chuffed",1200000,4,"LB","True","0","True","100","18","9","552","4","15","18","51","9","False"
"toy.mzn","Spread","toy_30_32.dzn","Chuffed",1200000,30,"Simp","True","15377197","False","1199950","119420955","91","819696851","4","368","119420955","111271406","90","False"
"toy.mzn","Gini","toy_10_13.dzn","Chuffed",1200000,10,"LB-TL","True","1883","False","1199932","78126472","589","412575455","4","588","78126472","8176365","588","False"
"toy.mzn","Gini","toy_14_16.dzn","Chuffed",1200000,14,"Simp","True","2003","False","1199931","108194342","101","457944390","4","108","108194342","2917014","100","False"
"toy.mzn","Gini","toy_13_17.dzn","Chuffed",1200000,13,"LB-TL","True","4026","False","1199933","122428483","105","654339450","4","101","122428483","21466123","104","False"
"toy.mzn","Spread","toy_14_16.dzn","Chuffed",1200000,14,"LB","True","602148","False","1199933","116220077","1218","702502397","4","1056","116220077","34339552","1217","False"
"toy.mzn","Spread","toy_13_17.dzn","Chuffed",1200000,13,"Simp","True","354054","False","1199938","96274040","60","421983790","4","204","96274040","7705352","59","False"
"toy.mzn","Spread","toy_32_36.dzn","Chuffed",1200000,32,"Simp","True","24718278","False","1199950","98425952","4","813482861","4","362","98425952","160675216","3","False"
"toy.mzn","Gini","toy_35_38.dzn","Chuffed",1200000,35,"LB","True","3907","False","1199944","58209713","75","315488018","4","458","58209713","12586142","74","False"
"toy.mzn","Spread","toy_38_42.dzn","Chuffed",1200000,38,"Simp","True","44963198","False","1199960","102570366","209","553748529","4","523","102570366","20374402","208","False"
